"track","artist","stream_on_youtube","stream_on_spotify"
"Lucky Man","The Verve","0","127659740"
"Atlantis - Extra Sped Up Version","Seafret","0","45377217"
"Bulleya (From ""Ae Dil Hai Mushkil"")","Shilpa Rao","0","55716985"
"La Pregunta del Millón","Los Dos Carnales","0","25951077"
"Escape (feat. Hayla)","deadmau5","0","56285470"
"Never Hating (feat. Young Thug)","Young Thug","0","26329786"
"Perreo en La Luna","Dalex","0","181999873"
"Juice","Lizzo","0","457346901"
"Saibo","Sachin-Jigar","0","91740940"
"Llorando en la Limo (feat. Alizzz)","C. Tangana","0","93392701"
"GANAS","Young Cister","0","33552603"
"Mice On Venus","C418","0","41576449"
"Nataaoki","Steve Aoki","0","66285945"
"Warm Embrace","Lofi Fruits Music","0","3952766"
"Seikai - 18Fes Version","RADWIMPS","0","13596286"
"Pasa","Fonseca","0","6991101"
"Scars","I Prevail","0","110472003"
"Sarcophagus III","Ramirez","0","26198333"
"Lights - Sped Up Version","Ellie Goulding","0","49749616"
"Caminemos de la Mano","Young Cister","0","29328988"
"Stole the Show","Kygo","0","835408549"
"Happy Now","Elley Duhé","0","478872097"
"3:00 AM","Eladio Carrion","0","126957216"
"SUMMER TIME SADNESS HARDSTYLE","SICK LEGEND","0","10838254"
"Pure Water (with Migos)","Mustard","0","624724646"
"Nihil","Ghostemane","0","89125744"
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap","0","309525677"
"TV","Billie Eilish","0","188946951"
"Raydar","JID","0","17205161"
"Haciéndolo","Zion","0","1557904"
"HASTA LA MUERTE","Ivan Cornejo","0","55982605"
"81 - Geheimnis im Spukhotel - Teil 07","Die drei !!!","0","311087"
"This Is the Life","Two Door Cinema Club","0","43210851"
"Heaven Knows I'm Miserable Now - 2011 Remaster","The Smiths","0","187979234"
"Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor","0","894761886"
"Por Si Te Lo Preguntas","Matisse","0","3594760"
"Safaera","Jowell & Randy","0","738555031"
"Blue Magic","Maes","0","22232404"
"Nur für Dich","Kontra K","0","22390158"
"Self-Destruction","I Prevail","0","11354088"
"Shower","Becky G","0","655242748"
"METAMORPHOSIS 2","INTERWORLD","0","8871096"
"Lullaby - Acoustic","Paloma Faith","0","30182521"
"Dreamlife","Naps","0","9549285"
"Left Hand Free","alt-J","0","337571286"
"CHORRITO PA LAS ANIMAS","Feid","0","71448886"
"Flatline","Flowdan","0","827994"
"Lovers Rock","TV Girl","0","284376259"
"Put The Minks Down (feat. 42 Dugg)","Jeezy","0","3513820"
"Oceans & Engines","NIKI","0","41998025"
"Color Esperanza 2020","Dilsinho","0","89466323"
"Off My Face","Justin Bieber","0","209625470"
"Way 2 Sexy (with Future & Young Thug)","Young Thug","0","443050716"
"ADIÓS AMOR","Jessie Reyez","0","2752122"
"This December","Ricky Montgomery","0","68633126"
"Cigarette Daydreams","Cage The Elephant","0","616857733"
"Don't Be Shy","KAROL G","0","481307838"
"Breaking Me - HUGEL Remix","Topic","0","57813687"
"Takut","Vierra","0","9335904"
"34+35","Ariana Grande","0","800804844"
"5-1-5-0","Dierks Bentley","0","95349383"
"Funny Thing","Thundercat","0","151408230"
"Like A Villain","Bad Omens","0","28615869"
